#Parameters = {h=1.5; l=55; n=14.5; w=50; wp=3; x=13}
#"Frequency / GHz"	"S1,1 (24) [Magnitude / dB]"
#----------------------------------------------
1.0000000000000	-0.46025026874136
1.0089999437332	-0.46180361742081
1.0180000066757	-0.46515551325138
1.0269999504089	-0.47035724451008
1.0360000133514	-0.47745984985075
1.0449999570847	-0.48651872149970
1.0540000200272	-0.49758332244826
1.0629999637604	-0.51070338647238
1.0720000267029	-0.52593135853495
1.0809999704361	-0.54331476069895
1.0900000333786	-0.56290703227729
1.0989999771118	-0.58475473037411
1.1080000400543	-0.60891071913844
1.1169999837875	-0.63542286504853
1.1260000467300	-0.66434342027312
1.1349999904633	-0.69572225025050
1.1440000534058	-0.72960831271259
1.1529999971390	-0.76605555702404
1.1619999408722	-0.80511519278414
1.1710000038147	-0.84683695724097
1.1799999475479	-0.89127652150226
1.1890000104904	-0.93848704724331
1.1979999542236	-0.98852485780389
1.2070000171661	-1.0414401977002
1.2159999608994	-1.0972947894710
1.2250000238419	-1.1561424865558
1.2339999675751	-1.2180420739220
1.2430000305176	-1.2830545935289
1.2519999742508	-1.3512418734544
1.2610000371933	-1.4226603943491
1.2699999809265	-1.4973794906011
1.2790000438690	-1.5754599674766
1.2879999876022	-1.6569703132705
1.2970000505447	-1.7419772501880
1.3059999942780	-1.8305506959735
1.3150000572205	-1.9227608530096
1.3240000009537	-2.0186803170454
1.3329999446869	-2.1183847822189
1.3420000076294	-2.2219505918602
1.3509999513626	-2.3294569445343
1.3600000143051	-2.4409814237628
1.3689999580383	-2.5566091407785
1.3780000209808	-2.6764252487495
1.3869999647141	-2.8005157958556
1.3960000276566	-2.9289711496817
1.4049999713898	-3.0618827528352
1.4140000343323	-3.1993459057265
1.4229999780655	-3.3414578857294
1.4320000410080	-3.4883181516511
1.4409999847412	-3.6400294607803
1.4500000476837	-3.7966998336198
1.4589999914169	-3.9584352943311
1.4680000543594	-4.1253489953718
1.4769999980927	-4.2975544660151
1.4859999418259	-4.4751685851562
1.4950000047684	-4.6583136577116
1.5039999485016	-4.8471120413173
1.5130000114441	-5.0416889826707
1.5219999551773	-5.2421740205687
1.5310000181198	-5.4486938065636
1.5399999618530	-5.6613827894400
1.5490000247955	-5.8803745060684
1.5579999685287	-6.1057950938934
