#Parameters = {h=1.5; l=55; n=17; w=50; wp=3; x=13}
#"Frequency / GHz"	"S1,1 (29) [Magnitude / dB]"
#----------------------------------------------
1.0000000000000	-0.46200158827794
1.0089999437332	-0.45902141239101
1.0180000066757	-0.45800004178158
1.0269999504089	-0.45900454201232
1.0360000133514	-0.46209658684413
1.0449999570847	-0.46733697815338
1.0540000200272	-0.47478864534549
1.0629999637604	-0.48450930868265
1.0720000267029	-0.49655996621918
1.0809999704361	-0.51099697316998
1.0900000333786	-0.52788050177350
1.0989999771118	-0.54726661801732
1.1080000400543	-0.56921121439389
1.1169999837875	-0.59377371747000
1.1260000467300	-0.62100849633636
1.1349999904633	-0.65097377337895
1.1440000534058	-0.68372798421757
1.1529999971390	-0.71932632272903
1.1619999408722	-0.75782906290638
1.1710000038147	-0.79929424281317
1.1799999475479	-0.84377914504936
1.1890000104904	-0.89134754068635
1.1979999542236	-0.94205884302063
1.2070000171661	-0.99597405979413
1.2159999608994	-1.0531586124558
1.2250000238419	-1.1136770007335
1.2339999675751	-1.1775925204031
1.2430000305176	-1.2449758248453
1.2519999742508	-1.3158955277994
1.2610000371933	-1.3904205883387
1.2699999809265	-1.4686235697287
1.2790000438690	-1.5505791285026
1.2879999876022	-1.6363651532752
1.2970000505447	-1.7260587928460
1.3059999942780	-1.8197408397148
1.3150000572205	-1.9174940908230
1.3240000009537	-2.0194022683561
1.3329999446869	-2.1255577401294
1.3420000076294	-2.2360481704039
1.3509999513626	-2.3509686043749
1.3600000143051	-2.4704141462200
1.3689999580383	-2.5944856300153
1.3780000209808	-2.7232862648813
1.3869999647141	-2.8569218309247
1.3960000276566	-2.9955042891874
1.4049999713898	-3.1391453646257
1.4140000343323	-3.2879655389327
1.4229999780655	-3.4420859749646
1.4320000410080	-3.6016346892263
1.4409999847412	-3.7667414571230
1.4500000476837	-3.9375444944868
1.4589999914169	-4.1141840925577
1.4680000543594	-4.2968060309845
1.4769999980927	-4.4855636668032
1.4859999418259	-4.6806138607648
1.4950000047684	-4.8821181441594
1.5039999485016	-5.0902466532976
1.5130000114441	-5.3051715471362
1.5219999551773	-5.5270714336330
1.5310000181198	-5.7561334128064
1.5399999618530	-5.9925438370586
1.5490000247955	-6.2364927201981
1.5579999685287	-6.4881760463855
1.5670000314713	-6.7477912316310
1.5759999752045	-7.0155294964401
1.5850000381470	-7.2915835837274
1.5939999818802	-7.5761345922017
1.6030000448227	-7.8693539643023
1.6119999885559	-8.1713933018870
1.6210000514984	-8.4823774803513
1.6299999952316	-8.8023938719280
1.6390000581741	-9.1314829631234
1.6480000019073	-9.4696121676366
1.6569999456406	-9.8166660804190
1.6660000085831	-10.172409274559
1.6749999523163	-10.536459634033
1.6840000152588	-10.908241829430
1.6929999589920	-11.286940685365
1.7020000219345	-11.671433877657
1.7109999656677	-12.060223458736
1.7200000286102	-12.451350328047
1.7289999723434	-12.842307175508
1.7380000352859	-13.229940618436
1.7469999790192	-13.610374953792
1.7560000419617	-13.978950185718
1.7649999856949	-14.330227153610
1.7740000486374	-14.658055403946
1.7829999923706	-14.955769894755
1.7920000553131	-15.216524756381
1.8009999990463	-15.433743951016
1.8099999427795	-15.601705171911
1.8190000057220	-15.716113089329
1.8279999494553	-15.774598218857
1.8370000123978	-15.777014620554
1.8459999561310	-15.725447413004
1.8550000190735	-15.623956000110
1.8639999628067	-15.478091411825
1.8730000257492	-15.294312582603
1.8819999694824	-15.079421558758
1.8910000324249	-14.840071721070
1.8999999761581	-14.582438013511
1.9090000391006	-14.311998929303
1.9179999828339	-14.033455586263
1.9270000457764	-13.750725407495
1.9359999895096	-13.466988578757
1.9450000524521	-13.184779220780
1.9539999961853	-12.906065688132
1.9630000591278	-12.632350794002
1.9720000028610	-12.364748750351
1.9809999465942	-12.104065530368
1.9900000095367	-11.850856143346
1.9989999532700	-11.605480426100
2.0079998970032	-11.368147206444
2.0169999599457	-11.138939783650
2.0260000228882	-10.917860022624
2.0350000858307	-10.704834023946
2.0439999103546	-10.499741381995
2.0529999732971	-10.302415641660
2.0620000362396	-10.112673580575
2.0710000991821	-9.9303058246311
2.0799999237061	-9.7550927282095
2.0889999866486	-9.5868063983081
2.0980000495911	-9.4252145036582
2.1070001125336	-9.2700879882426
2.1159999370575	-9.1211950103885
2.1250000000000	-8.9783032870253
2.1340000629425	-8.8411939173432
2.1429998874664	-8.7096439358862
2.1519999504089	-8.5834398480412
2.1610000133514	-8.4623722431718
2.1700000762939	-8.3462368367631
2.1789999008179	-8.2348369823385
2.1879999637604	-8.1279820190954
2.1970000267029	-8.0254852252628
2.2060000896454	-7.9271674000083
2.2149999141693	-7.8328524245885
2.2239999771118	-7.7423729772537
2.2330000400543	-7.6555630667422
2.2420001029968	-7.5722633520154
2.2509999275208	-7.4923193153266
2.2599999904633	-7.4155813213758
2.2690000534058	-7.3419041971235
