#Parameters = {h=1.5; l=55; n=20.5; w=50; wp=3; x=13}
#"Frequency / GHz"	"S1,1 (36) [Magnitude / dB]"
#----------------------------------------------
1.0000000000000	-0.40490673885499
1.0089999437332	-0.40146895713247
1.0180000066757	-0.40016170365422
1.0269999504089	-0.40104354350041
1.0360000133514	-0.40417492396319
1.0449999570847	-0.40961309886546
1.0540000200272	-0.41741481299450
1.0629999637604	-0.42763454743061
1.0720000267029	-0.44032910604567
1.0809999704361	-0.45555010156523
1.0900000333786	-0.47335249177087
1.0989999771118	-0.49378909455621
1.1080000400543	-0.51691375781796
1.1169999837875	-0.54277671413477
1.1260000467300	-0.57143531998149
1.1349999904633	-0.60294139589104
1.1440000534058	-0.63734785485697
1.1529999971390	-0.67471181492872
1.1619999408722	-0.71508668252065
1.1710000038147	-0.75853062102241
1.1799999475479	-0.80510066426743
1.1890000104904	-0.85485352409103
1.1979999542236	-0.90785054315804
1.2070000171661	-0.96415444662095
1.2159999608994	-1.0238260232066
1.2250000238419	-1.0869299220926
1.2339999675751	-1.1535350992695
1.2430000305176	-1.2237051739205
1.2519999742508	-1.2975156236284
1.2610000371933	-1.3750375133761
1.2699999809265	-1.4563436593627
1.2790000438690	-1.5415137785797
1.2879999876022	-1.6306283797864
1.2970000505447	-1.7237692766263
1.3059999942780	-1.8210225479185
1.3150000572205	-1.9224772954948
1.3240000009537	-2.0282266480398
1.3329999446869	-2.1383674871024
1.3420000076294	-2.2529966189507
1.3509999513626	-2.3722211986173
1.3600000143051	-2.4961473335652
1.3689999580383	-2.6248873756904
1.3780000209808	-2.7585587454139
1.3869999647141	-2.8972835964351
1.3960000276566	-3.0411900376771
1.4049999713898	-3.1904101095127
1.4140000343323	-3.3450823552765
1.4229999780655	-3.5053538313544
1.4320000410080	-3.6713763228274
1.4409999847412	-3.8433097574580
1.4500000476837	-4.0213218943427
1.4589999914169	-4.2055856819121
1.4680000543594	-4.3962895908463
1.4769999980927	-4.5936228504188
1.4859999418259	-4.7977909814746
1.4950000047684	-5.0090073852055
1.5039999485016	-5.2274953346645
1.5130000114441	-5.4534925671361
1.5219999551773	-5.6872455917638
1.5310000181198	-5.9290132749460
1.5399999618530	-6.1790677024985
1.5490000247955	-6.4376967107350
1.5579999685287	-6.7051941015592
1.5670000314713	-6.9818722071849
1.5759999752045	-7.2680497331447
1.5850000381470	-7.5640571385558
1.5939999818802	-7.8702311898071
1.6030000448227	-8.1869120622874
1.6119999885559	-8.5144353671774
1.6210000514984	-8.8531317380373
1.6299999952316	-9.2033082247869
1.6390000581741	-9.5652364245035
1.6480000019073	-9.9391357984345
1.6569999456406	-10.325144674702
1.6660000085831	-10.723283117612
1.6749999523163	-11.133410085094
1.6840000152588	-11.555153985289
1.6929999589920	-11.987836620953
1.7020000219345	-12.430364433641
1.7109999656677	-12.881094487249
1.7200000286102	-13.337663798506
1.7289999723434	-13.796794427664
1.7380000352859	-14.254073645002
1.7469999790192	-14.703722774651
1.7560000419617	-15.138415959292
1.7649999856949	-15.549199687387
1.7740000486374	-15.925624282662
1.7829999923706	-16.256187023858
1.7920000553131	-16.529185969331
1.8009999990463	-16.733940052824
1.8099999427795	-16.862229845568
1.8190000057220	-16.909608434282
1.8279999494553	-16.876170675145
1.8370000123978	-16.766542700650
1.8459999561310	-16.589059136229
1.8550000190735	-16.354447192866
1.8639999628067	-16.074391208211
1.8730000257492	-15.760316267238
1.8819999694824	-15.422570057169
1.8910000324249	-15.069987556317
1.8999999761581	-14.709779937095
1.9090000391006	-14.347611619076
1.9179999828339	-13.987801726945
1.9270000457764	-13.633538718678
1.9359999895096	-13.287108701785
1.9450000524521	-12.950088411593
1.9539999961853	-12.623514035630
1.9630000591278	-12.308009944920
1.9720000028610	-12.003898558759
1.9809999465942	-11.711280184443
1.9900000095367	-11.430089754258
1.9989999532700	-11.160155102351
2.0079998970032	-10.901217550851
2.0169999599457	-10.652969847636
2.0260000228882	-10.415072562930
2.0350000858307	-10.187161240040
2.0439999103546	-9.9688689084060
