#Parameters = {h=1.5; l=55; n=9; w=50; wp=3; x=13}
#"Frequency / GHz"	"S1,1 (13) [Magnitude / dB]"
#----------------------------------------------
1.0000000000000	-0.50873311155148
1.0089999437332	-0.49904327406495
1.0180000066757	-0.49106131251726
1.0269999504089	-0.48484760960535
1.0360000133514	-0.48046342008276
1.0449999570847	-0.47796669054999
1.0540000200272	-0.47741413009459
1.0629999637604	-0.47885714612490
1.0720000267029	-0.48235072562447
1.0809999704361	-0.48794235768769
1.0900000333786	-0.49568183252484
1.0989999771118	-0.50561378449079
1.1080000400543	-0.51778719486999
1.1169999837875	-0.53224409230173
1.1260000467300	-0.54902873098105
1.1349999904633	-0.56818217393240
1.1440000534058	-0.58974774349784
1.1529999971390	-0.61376441526506
1.1619999408722	-0.64027160135217
1.1710000038147	-0.66930980411714
1.1799999475479	-0.70091696227148
1.1890000104904	-0.73513113664699
1.1979999542236	-0.77199299417134
1.2070000171661	-0.81153752643227
1.2159999608994	-0.85380175034470
1.2250000238419	-0.89882583347344
1.2339999675751	-0.94664555637908
1.2430000305176	-0.99729698156351
1.2519999742508	-1.0508208861030
1.2610000371933	-1.1072499666873
1.2699999809265	-1.1666246469082
1.2790000438690	-1.2289816463516
1.2879999876022	-1.2943586349856
1.2970000505447	-1.3627936259729
1.3059999942780	-1.4343229468350
1.3150000572205	-1.5089883158525
1.3240000009537	-1.5868232435099
1.3329999446869	-1.6678695456759
1.3420000076294	-1.7521664434023
1.3509999513626	-1.8397511813941
1.3600000143051	-1.9306634328090
1.3689999580383	-2.0249441667388
1.3780000209808	-2.1226309080499
1.3869999647141	-2.2237658264804
1.3960000276566	-2.3283888658636
1.4049999713898	-2.4365407843911
1.4140000343323	-2.5482602640032
1.4229999780655	-2.6635910906985
1.4320000410080	-2.7825748561429
1.4409999847412	-2.9052513668576
1.4500000476837	-3.0316646385311
1.4589999914169	-3.1618563047839
1.4680000543594	-3.2958670227127
1.4769999980927	-3.4337404486013
1.4859999418259	-3.5755200812072
1.4950000047684	-3.7212487011443
1.5039999485016	-3.8709678486880
1.5130000114441	-4.0247223519163
1.5219999551773	-4.1825540910364
1.5310000181198	-4.3445068952695
1.5399999618530	-4.5106221812465
1.5490000247955	-4.6809424143279
1.5579999685287	-4.8555090471791
1.5670000314713	-5.0343634786615
1.5759999752045	-5.2175444869307
1.5850000381470	-5.4050919658325
1.5939999818802	-5.5970440681962
1.6030000448227	-5.7934326883905
1.6119999885559	-5.9942926603972
1.6210000514984	-6.1996524557577
1.6299999952316	-6.4095388488957
1.6390000581741	-6.6239703780084
1.6480000019073	-6.8429659185657
1.6569999456406	-7.0665313249453
1.6660000085831	-7.2946682105825
1.6749999523163	-7.5273683352094
1.6840000152588	-7.7646125237313
1.6929999589920	-8.0063646149429
1.7020000219345	-8.2525761314548
1.7109999656677	-8.5031780464732
1.7200000286102	-8.7580789029858
1.7289999723434	-9.0171614832509
1.7380000352859	-9.2802781559126
1.7469999790192	-9.5472449534729
1.7560000419617	-9.8178352355509
1.7649999856949	-10.091779227404
1.7740000486374	-10.368745646908
1.7829999923706	-10.648341928508
1.7920000553131	-10.930104577056
1.8009999990463	-11.213485772843
1.8099999427795	-11.497849472530
1.8190000057220	-11.782452382740
1.8279999494553	-12.066443415936
1.8370000123978	-12.348846335167
1.8459999561310	-12.628557601743
1.8550000190735	-12.904337555447
1.8639999628067	-13.174811967343
1.8730000257492	-13.438469896842
1.8819999694824	-13.693683386404
1.8910000324249	-13.938715722279
1.8999999761581	-14.171755504122
1.9090000391006	-14.390949850088
1.9179999828339	-14.594461238694
1.9270000457764	-14.780511406814
1.9359999895096	-14.947459193793
1.9450000524521	-15.093854867705
1.9539999961853	-15.218511532399
1.9630000591278	-15.320561248234
1.9720000028610	-15.399495269769
1.9809999465942	-15.455196335687
1.9900000095367	-15.487932228557
1.9989999532700	-15.498354802307
2.0079998970032	-15.487450123296
2.0169999599457	-15.456501816321
2.0260000228882	-15.407015307546
2.0350000858307	-15.340660874670
2.0439999103546	-15.259209886790
2.0529999732971	-15.164461037313
2.0620000362396	-15.058207949923
2.0710000991821	-14.942175385327
2.0799999237061	-14.818000957222
2.0889999866486	-14.687209631115
2.0980000495911	-14.551194549773
2.1070001125336	-14.411212597264
2.1159999370575	-14.268387955382
2.1250000000000	-14.123716514678
2.1340000629425	-13.978058433019
2.1429998874664	-13.832167375671
2.1519999504089	-13.686685807720
2.1610000133514	-13.542161237375
2.1700000762939	-13.399053342088
2.1789999008179	-13.257747502127
2.1879999637604	-13.118562616171
