#Parameters = {h=1.5; l=55; n=21; w=50; wp=3; x=13}
#"Frequency / GHz"	"S1,1 (37) [Magnitude / dB]"
#----------------------------------------------
1.0000000000000	-0.54921678404627
1.0089999437332	-0.55089902988883
1.0180000066757	-0.55395789121236
1.0269999504089	-0.55845934364127
1.0360000133514	-0.56447436675262
1.0449999570847	-0.57207095395737
1.0540000200272	-0.58132058522055
1.0629999637604	-0.59229380934157
1.0720000267029	-0.60506115858093
1.0809999704361	-0.61969631516096
1.0900000333786	-0.63627016535336
1.0989999771118	-0.65485836986153
1.1080000400543	-0.67553279378084
1.1169999837875	-0.69836885164145
1.1260000467300	-0.72344404350044
1.1349999904633	-0.75083099161617
1.1440000534058	-0.78060806287000
1.1529999971390	-0.81285382964129
1.1619999408722	-0.84764780259294
1.1710000038147	-0.88506762261814
1.1799999475479	-0.92519436768266
1.1890000104904	-0.96811114016204
1.1979999542236	-1.0139001436229
1.2070000171661	-1.0626457914708
1.2159999608994	-1.1144338937861
1.2250000238419	-1.1693513262225
1.2339999675751	-1.2274878961197
1.2430000305176	-1.2889333922931
1.2519999742508	-1.3537796895073
1.2610000371933	-1.4221213360202
1.2699999809265	-1.4940541577843
1.2790000438690	-1.5696762398867
1.2879999876022	-1.6490891972288
1.2970000505447	-1.7323953107758
1.3059999942780	-1.8197016160563
1.3150000572205	-1.9111161599802
1.3240000009537	-2.0067497092675
1.3329999446869	-2.1067175357881
1.3420000076294	-2.2111361470153
1.3509999513626	-2.3201293747148
1.3600000143051	-2.4338209947701
1.3689999580383	-2.5523399865587
1.3780000209808	-2.6758223641989
1.3869999647141	-2.8044046954251
1.3960000276566	-2.9382287335967
1.4049999713898	-3.0774444612532
1.4140000343323	-3.2222068425579
1.4229999780655	-3.3726724645230
1.4320000410080	-3.5290085506698
1.4409999847412	-3.6913897746081
1.4500000476837	-3.8599936649314
1.4589999914169	-4.0350089846698
1.4680000543594	-4.2166300132158
1.4769999980927	-4.4050609736138
1.4859999418259	-4.6005164846789
1.4950000047684	-4.8032171980532
1.5039999485016	-5.0133979148670
1.5130000114441	-5.2313024660384
1.5219999551773	-5.4571818930070
1.5310000181198	-5.6913065552025
1.5399999618530	-5.9339502869906
1.5490000247955	-6.1854040817280
1.5579999685287	-6.4459666627310
1.5670000314713	-6.7159513976078
1.5759999752045	-6.9956775744502
1.5850000381470	-7.2854760048231
1.5939999818802	-7.5856788743304
1.6030000448227	-7.8966265834406
1.6119999885559	-8.2186477431404
1.6210000514984	-8.5520652163878
1.6299999952316	-8.8971795958405
1.6390000581741	-9.2542514819655
1.6480000019073	-9.6234890232308
1.6569999456406	-10.005015803917
1.6660000085831	-10.398838352335
1.6749999523163	-10.804798583503
1.6840000152588	-11.222511376901
1.6929999589920	-11.651281187837
1.7020000219345	-12.090004875786
1.7109999656677	-12.537033897340
1.7200000286102	-12.990013131104
1.7289999723434	-13.445690979801
1.7380000352859	-13.899703101561
1.7469999790192	-14.346358220457
1.7560000419617	-14.778459269792
1.7649999856949	-15.187244048977
1.7740000486374	-15.562494757442
1.7829999923706	-15.892988424860
1.7920000553131	-16.167300313212
1.8009999990463	-16.374987947514
1.8099999427795	-16.507963699344
1.8190000057220	-16.561763872905
1.8279999494553	-16.536304356559
1.8370000123978	-16.435902798759
1.8459999561310	-16.268516653053
1.8550000190735	-16.044499026607
1.8639999628067	-15.775218421550
1.8730000257492	-15.471864410396
1.8819999694824	-15.144634160178
1.8910000324249	-14.802287353301
1.8999999761581	-14.452005368509
1.9090000391006	-14.099469109029
1.9179999828339	-13.749027760743
1.9270000457764	-13.403907821791
1.9359999895096	-13.066440183299
1.9450000524521	-12.738240227164
1.9539999961853	-12.420378918778
1.9630000591278	-12.113514136078
1.9720000028610	-11.817992380658
1.9809999465942	-11.533933434219
1.9900000095367	-11.261289671170
1.9989999532700	-10.999894489381
2.0079998970032	-10.749499177903
2.0169999599457	-10.509802219087
2.0260000228882	-10.280460436342
2.0350000858307	-10.061114286382
2.0439999103546	-9.8513867696458
2.0529999732971	-9.6509010679116
2.0620000362396	-9.4592830574761
2.0710000991821	-9.2761608219247
2.0799999237061	-9.1011758852713
2.0889999866486	-8.9339770674935
2.0980000495911	-8.7742218866695
2.1070001125336	-8.6215818880908
2.1159999370575	-8.4757442006738
2.1250000000000	-8.3364025519709
2.1340000629425	-8.2032616579192
2.1429998874664	-8.0760429591486
2.1519999504089	-7.9544715308240
2.1610000133514	-7.8382890156851
2.1700000762939	-7.7272439460715
2.1789999008179	-7.6210939345640
2.1879999637604	-7.5196058626795
2.1970000267029	-7.4225549853248
2.2060000896454	-7.3297248251867
2.2149999141693	-7.2409042821947
2.2239999771118	-7.1558922674447
2.2330000400543	-7.0744908558116
2.2420001029968	-6.9965109765527
2.2509999275208	-6.9217693723778
2.2599999904633	-6.8500885960816
2.2690000534058	-6.7812948032955
2.2780001163483	-6.7152213466467
2.2869999408722	-6.6517079982628
2.2960000038147	-6.5905940968152
2.3050000667572	-6.5317319415670
2.3139998912811	-6.4749735549273
2.3229999542236	-6.4201762568903
2.3320000171661	-6.3672021690084
2.3410000801086	-6.3159200321888
2.3499999046326	-6.2662025706296
2.3589999675751	-6.2179255459511
2.3680000305176	-6.1709718410926
2.3770000934601	-6.1252288771438
2.3859999179840	-6.0805883497333
2.3949999809265	-6.0369463079169
2.4040000438690	-5.9942054631571
2.4130001068115	-5.9522727112625
2.4219999313354	-5.9110603822154
2.4309999942780	-5.8704844741785
2.4400000572205	-5.8304693098529
2.4489998817444	-5.7909393003156
2.4579999446869	-5.7518312847556
2.4670000076294	-5.7130807320456
2.4760000705719	-5.6746315952483
2.4849998950958	-5.6364315660697
2.4939999580383	-5.5984351089147
2.5030000209808	-5.5605971190043
2.5120000839233	-5.5228842022457
2.5209999084473	-5.4852618253797
2.5299999713898	-5.4477055096465
2.5390000343323	-5.4101895942870
2.5480000972748	-5.3726964431115
2.5569999217987	-5.3352112974704
2.5659999847412	-5.2977243732232
2.5750000476837	-5.2602271612437
2.5840001106262	-5.2227198272374
2.5929999351501	-5.1851986812930
2.6019999980927	-5.1476715388752
2.6110000610352	-5.1101401095356
2.6199998855591	-5.0726174472543
2.6289999485016	-5.0351135582040
2.6380000114441	-4.9976402774661
2.6470000743866	-4.9602147964982
2.6559998989105	-4.9228557863533
2.6649999618530	-4.8855774745860
2.6740000247955	-4.8484050335544
2.6830000877380	-4.8113572150019
2.6919999122620	-4.7744549299243
2.7009999752045	-4.7377201594233
2.7100000381470	-4.7011773450681
2.7190001010895	-4.6648486704666
2.7279999256134	-4.6287578597410
2.7369999885559	-4.5929248110696
