#Parameters = {h=1.5; l=55; n=13; w=50; wp=3; x=13}
#"Frequency / GHz"	"S1,1 (21) [Magnitude / dB]"
#----------------------------------------------
1.0000000000000	-0.46274465186286
1.0089999437332	-0.46604431256510
1.0180000066757	-0.47104173349454
1.0269999504089	-0.47778123774266
1.0360000133514	-0.48631073517791
1.0449999570847	-0.49667488595766
1.0540000200272	-0.50892064811145
1.0629999637604	-0.52309292349023
1.0720000267029	-0.53923653894186
1.0809999704361	-0.55739876244040
1.0900000333786	-0.57762279021250
1.0989999771118	-0.59995395705025
1.1080000400543	-0.62444031281254
1.1169999837875	-0.65112392819568
1.1260000467300	-0.68005148875657
1.1349999904633	-0.71127062113253
1.1440000534058	-0.74482754920599
1.1529999971390	-0.78076715753178
1.1619999408722	-0.81913625739165
1.1710000038147	-0.85998674017333
1.1799999475479	-0.90336449853888
1.1890000104904	-0.94931660716767
1.1979999542236	-0.99789734261811
1.2070000171661	-1.0491512582499
1.2159999608994	-1.1031360176139
1.2250000238419	-1.1598980996125
1.2339999675751	-1.2194941746163
1.2430000305176	-1.2819776065541
1.2519999742508	-1.3474011204756
1.2610000371933	-1.4158218241287
1.2699999809265	-1.4872983078658
1.2790000438690	-1.5618861354587
1.2879999876022	-1.6396468296834
1.2970000505447	-1.7206402953014
1.3059999942780	-1.8049260288882
1.3150000572205	-1.8925715784702
1.3240000009537	-1.9836367683808
1.3329999446869	-2.0781906318811
1.3420000076294	-2.1763005148480
1.3509999513626	-2.2780333576179
1.3600000143051	-2.3834590325887
1.3689999580383	-2.4926528063007
1.3780000209808	-2.6056864063856
1.3869999647141	-2.7226334008984
1.3960000276566	-2.8435742385070
1.4049999713898	-2.9685859767595
1.4140000343323	-3.0977493943088
1.4229999780655	-3.2311476194899
1.4320000410080	-3.3688649113386
1.4409999847412	-3.5109872194562
1.4500000476837	-3.6576047353986
1.4589999914169	-3.8088049864974
1.4680000543594	-3.9646823092173
1.4769999980927	-4.1253320190088
1.4859999418259	-4.2908486681265
1.4950000047684	-4.4613283209045
1.5039999485016	-4.6368763265443
1.5130000114441	-4.8175885992629
1.5219999551773	-5.0035692570311
1.5310000181198	-5.1949240409464
1.5399999618530	-5.3917537823103
1.5490000247955	-5.5941644929931
1.5579999685287	-5.8022591992151
1.5670000314713	-6.0161390797917
1.5759999752045	-6.2359069955058
1.5850000381470	-6.4616573094611
1.5939999818802	-6.6934802492260
1.6030000448227	-6.9314601631181
1.6119999885559	-7.1756727616300
1.6210000514984	-7.4261761063090
1.6299999952316	-7.6830194112108
1.6390000581741	-7.9462255903565
1.6480000019073	-8.2157935744078
1.6569999456406	-8.4916920822825
1.6660000085831	-8.7738467753898
1.6749999523163	-9.0621354200258
1.6840000152588	-9.3563748641744
1.6929999589920	-9.6563081707439
1.7020000219345	-9.9615859904322
1.7109999656677	-10.271757087444
1.7200000286102	-10.586232477669
1.7289999723434	-10.904276728703
1.7380000352859	-11.224969697629
1.7469999790192	-11.547179422542
1.7560000419617	-11.869536564139
1.7649999856949	-12.190395969489
1.7740000486374	-12.507811526554
1.7829999923706	-12.819519504863
1.7920000553131	-13.122923983234
1.8009999990463	-13.415105551693
1.8099999427795	-13.692856262624
1.8190000057220	-13.952744184378
1.8279999494553	-14.191215100159
1.8370000123978	-14.404736105323
1.8459999561310	-14.589963950348
1.8550000190735	-14.743943122421
1.8639999628067	-14.864307894441
1.8730000257492	-14.949454532233
1.8819999694824	-14.998667612241
1.8910000324249	-15.012175836252
1.8999999761581	-14.991139461001
1.9090000391006	-14.937544242618
1.9179999828339	-14.854052958131
1.9270000457764	-14.743810631358
1.9359999895096	-14.610246213083
1.9450000524521	-14.456891765130
1.9539999961853	-14.287209361732
1.9630000591278	-14.104488020528
1.9720000028610	-13.911754383525
1.9809999465942	-13.711722706812
1.9900000095367	-13.506777679149
1.9989999532700	-13.298978339126
2.0079998970032	-13.090070549891
2.0169999599457	-12.881516184194
2.0260000228882	-12.674520803041
2.0350000858307	-12.470061746365
2.0439999103546	-12.268927492301
2.0529999732971	-12.071734857557
2.0620000362396	-11.878962503740
2.0710000991821	-11.690970598160
2.0799999237061	-11.508022303143
2.0889999866486	-11.330300068247
2.0980000495911	-11.157917311198
2.1070001125336	-10.990937023532
2.1159999370575	-10.829372363856
2.1250000000000	-10.673206903861
2.1340000629425	-10.522393407593
2.1429998874664	-10.376859075002
2.1519999504089	-10.236518908054
2.1610000133514	-10.101267824661
2.1700000762939	-9.9709952617106
2.1789999008179	-9.8455765655248
2.1879999637604	-9.7248879232036
2.1970000267029	-9.6087990667463
2.2060000896454	-9.4971723153750
2.2149999141693	-9.3898733400832
2.2239999771118	-9.2867660511338
2.2330000400543	-9.1877125238746
2.2420001029968	-9.0925768132178
2.2509999275208	-9.0012240606632
2.2599999904633	-8.9135206577941
2.2690000534058	-8.8293312608771
2.2780001163483	-8.7485275478229
2.2869999408722	-8.6709792048666
2.2960000038147	-8.5965596824703
2.3050000667572	-8.5251433796412
2.3139998912811	-8.4566077883198
2.3229999542236	-8.3908330830237
2.3320000171661	-8.3276992029370
2.3410000801086	-8.2670885174413
2.3499999046326	-8.2088887370874
2.3589999675751	-8.1529867900356
2.3680000305176	-8.0992720259637
2.3770000934601	-8.0476372651901
2.3859999179840	-7.9979776873578
2.3949999809265	-7.9501891879692
2.4040000438690	-7.9041690245777
2.4130001068115	-7.8598200182214
2.4219999313354	-7.8170432477869
2.4309999942780	-7.7757464480174
2.4400000572205	-7.7358345265486
2.4489998817444	-7.6972202738374
2.4579999446869	-7.6598125277330
2.4670000076294	-7.6235284834131
2.4760000705719	-7.5882837842304
2.4849998950958	-7.5539989805402
2.4939999580383	-7.5205953786613
2.5030000209808	-7.4879982098630
2.5120000839233	-7.4561339797998
2.5209999084473	-7.4249316862379
2.5299999713898	-7.3943273876270
2.5390000343323	-7.3642532660492
2.5480000972748	-7.3346466159670
2.5569999217987	-7.3054516427542
2.5659999847412	-7.2766091881469
2.5750000476837	-7.2480678764210
2.5840001106262	-7.2197776949262
2.5929999351501	-7.1916900877072
2.6019999980927	-7.1637626645618
2.6110000610352	-7.1359520132155
2.6199998855591	-7.1082198759982
2.6289999485016	-7.0805319553657
2.6380000114441	-7.0528561134071
2.6470000743866	-7.0251621040490
2.6559998989105	-6.9974240860721
2.6649999618530	-6.9696159961255
2.6740000247955	-6.9417204029347
2.6830000877380	-6.9137169880491
2.6919999122620	-6.8855911850476
2.7009999752045	-6.8573291371159
2.7100000381470	-6.8289207839605
2.7190001010895	-6.8003597108423
2.7279999256134	-6.7716381067789
2.7369999885559	-6.7427544126844
2.7460000514984	-6.7137062925552
2.7550001144409	-6.6844945895679
2.7639999389648	-6.6551229001736
2.7730000019073	-6.6255943215213
2.7820000648499	-6.5959166586656
2.7909998893738	-6.5660970635957
2.7999999523163	-6.5361447655074
